id,sector_escalera,piso,depto
637,1,PB,A
615,1,PB,B
640,1,1,A
618,1,1,B
643,1,2,A
621,1,2,B
646,1,3,A
624,1,3,B
639,2,PB,A
638,2,PB,B
629,2,PB,C
642,2,1,A
641,2,1,B
631,2,1,C
645,2,2,A
644,2,2,B
633,2,2,C
648,2,3,A
647,2,3,B
635,2,3,C
650,3,PB,A
649,3,PB,B
652,3,1,A
651,3,1,B
654,3,2,A
653,3,2,B
656,3,3,A
655,3,3,B
630,4,PB,A
625,4,PB,B
632,4,1,A
626,4,1,B
634,4,2,A
627,4,2,B
636,4,3,A
628,4,3,B
600,5,PB,A
599,5,PB,B
613,5,PB,C
614,5,PB,D
604,5,1,A
603,5,1,B
616,5,1,C
617,5,1,D
608,5,2,A
607,5,2,B
619,5,2,C
620,5,2,D
612,5,3,A
611,5,3,B
622,5,3,C
623,5,3,D
584,6,PB,A
583,6,PB,B
597,6,PB,C
598,6,PB,D
588,6,1,A
587,6,1,B
601,6,1,C
602,6,1,D
592,6,2,A
591,6,2,B
605,6,2,C
606,6,2,D
596,6,3,A
595,6,3,B
609,6,3,C
610,6,3,D
278,7,PB,A
267,7,PB,B
266,7,PB,C
280,7,1,A
270,7,1,B
269,7,1,C
282,7,2,A
273,7,2,B
272,7,2,C
284,7,3,A
276,7,3,B
275,7,3,C
277,8,PB,A
285,8,PB,B
279,8,1,A
286,8,1,B
281,8,2,A
287,8,2,B
283,8,3,A
288,8,3,B
581,9,PB,A
582,9,PB,B
566,9,PB,C
565,9,PB,D
585,9,1,A
586,9,1,B
570,9,1,C
569,9,1,D
589,9,2,A
590,9,2,B
574,9,2,C
573,9,2,D
593,9,3,A
594,9,3,B
578,9,3,C
577,9,3,D
253,10,PB,A
265,10,PB,B
256,10,1,A
268,10,1,B
259,10,2,A
271,10,2,B
262,10,3,A
274,10,3,B
539,11,PB,A
530,11,PB,B
542,11,1,A
532,11,1,B
545,11,2,A
534,11,2,B
548,11,3,A
536,11,3,B
538,12,PB,A
537,12,PB,B
551,12,PB,C
552,12,PB,D
541,12,1,A
540,12,1,B
555,12,1,C
556,12,1,D
544,12,2,A
543,12,2,B
559,12,2,C
560,12,2,D
